Date,Time,Latitude,Longitude,Altitude,PM2.5,PM10,Temperature,Pressure,Humidity,Wind Speed
2025-03-09,16:03:23,28.6139,77.209,503.8,30.3,41.3,23.33,989.02,59.58,9.48
2025-03-09,16:04:23,28.6139,77.209,541.1,13.6,29.6,23.98,982.47,56.88,5.66
2025-03-09,16:05:24,28.6139,77.209,530.4,5.4,15.9,39.35,965.19,76.59,5.27
2025-03-09,16:06:24,28.6139,77.209,549.6,28.7,36.5,36.19,992.3,40.07,7.38
2025-03-09,16:07:25,28.6139,77.209,519.9,20.9,36.6,33.59,957.94,68.59,11.8
2025-03-09,16:08:26,28.6139,77.209,511.9,20.4,32.2,39.78,1010.24,73.99,3.54
2025-03-09,16:09:26,28.6139,77.209,535.2,35.2,40.7,35.92,979.35,45.68,3.15
2025-03-09,16:10:27,28.6139,77.209,525.1,26.9,38.5,34.73,995.49,74.11,0.87
2025-03-09,16:11:28,28.6139,77.209,529.5,48.3,52.8,24.32,1003.53,44.97,5.8
2025-03-09,16:12:28,28.6139,77.209,506.9,23,30.7,20.04,952.86,85.17,7.25
2025-03-09,16:13:29,28.6139,77.209,521.9,36.1,50.5,20.29,969.71,38.65,1.75
2025-03-09,16:14:30,28.6139,77.209,543.9,25.9,36.1,28.04,979.95,87.59,10.34
2025-03-09,16:15:30,28.6139,77.209,547.8,33,46.2,29.93,967.9,33.18,3.89
2025-03-09,16:16:31,28.6139,77.209,527.6,8.5,23.7,34.45,986.98,45.51,2.83
2025-03-09,16:17:32,28.6139,77.209,549.5,19.5,22.8,21.38,964.02,53.64,7
2025-03-09,16:18:32,28.6139,77.209,540.1,12.3,31.5,33.02,969.28,80.11,14.61
2025-03-09,16:19:33,28.6139,77.209,549.3,43.2,46.5,39.85,1008.38,51.47,6.55
2025-03-09,16:20:34,28.6139,77.209,536.1,28.6,45.1,34.07,981.65,79.02,10.42
2025-03-09,16:21:35,28.6139,77.209,529.7,40,45.5,20.7,992.31,62.16,8.3
2025-03-09,16:22:36,28.6139,77.209,507.4,29.8,49.5,20.82,994.05,82.91,9.73
2025-03-09,16:23:36,28.6139,77.209,512.9,31.7,43.9,21.28,959.21,36.01,0.62
2025-03-09,16:24:37,28.6139,77.209,539.3,20.3,34.1,25,980.09,84.16,10.79
2025-03-09,16:25:38,28.6139,77.209,528.9,43.8,54,30.97,993.67,48.74,12.87
2025-03-09,16:26:39,28.6139,77.209,513.1,6.1,13.9,22.19,1007.93,68.73,13.93
2025-03-09,16:27:40,28.6139,77.209,503.3,10,20.5,28.64,1008.39,36.8,9.02
2025-03-09,16:28:40,28.6139,77.209,500.1,42.5,51.7,36.69,987.63,49.89,5.3
2025-03-09,16:29:41,28.6139,77.209,532.1,8.7,18.7,21.08,962.86,75.42,2.73
2025-03-09,16:30:42,28.6139,77.209,542,22.9,26.3,39.75,977.96,86.86,3.01
2025-03-09,16:31:42,28.6139,77.209,518,40.3,50.3,39.95,950.4,55.59,0.51
2025-03-09,16:32:43,28.6139,77.209,512.4,28,30.7,35.27,953.88,62.27,9.67
2025-03-09,16:33:44,28.6139,77.209,547.2,41.5,46.7,26.56,996.75,84.26,2.43
2025-03-09,16:34:44,28.6139,77.209,528,7.6,9.7,21.76,999.9,34.63,9.5
2025-03-09,16:35:45,28.6139,77.209,522.1,42.6,46.7,35.63,970.63,30.37,1.69
2025-03-09,16:36:46,28.6139,77.209,535.4,31.5,45.8,24.14,982.04,43.8,1.25
2025-03-09,16:37:46,28.6139,77.209,523.1,35,51.7,27.8,967.3,66.96,13.41
2025-03-09,16:38:47,28.6139,77.209,530.5,37.2,56.5,23.36,1017.61,82.31,8.86
2025-03-09,16:39:48,28.6139,77.209,533.1,42.1,57.6,27.22,1004.14,75.37,8.69
2025-03-09,16:40:48,28.6139,77.209,547,27.4,39,27.5,994.58,38.28,0.62
2025-03-09,16:41:49,28.6139,77.209,545.9,28,35,20.53,1014.95,55.92,6.92
2025-03-09,16:42:49,28.6139,77.209,547.9,29.7,40,24.07,951.86,51.92,8.97
2025-03-09,16:43:50,28.6139,77.209,502.2,49.2,56.9,23.86,1009.84,78.79,14.91
2025-03-09,16:44:51,28.6139,77.209,512.4,11.1,30.4,38.27,975.65,46.43,3.44
2025-03-09,16:45:51,28.6139,77.209,511.2,8.8,23.5,26.25,960.21,70.82,1.27
2025-03-09,16:46:52,28.6139,77.209,517,24.2,36.4,23.14,1012.18,48.61,0.63
2025-03-09,16:47:53,28.6139,77.209,545.3,6.2,17.6,37.86,1016.02,31.21,12.37
2025-03-09,16:48:53,28.6139,77.209,528.4,18.7,37.5,23.74,950.74,84.06,6.75
2025-03-09,16:49:54,28.6139,77.209,502.9,10.4,21.5,22.47,980.25,30.58,8.41
2025-03-09,16:50:55,28.6139,77.209,533.4,22.2,30.6,37.66,971.79,67.89,5.59
2025-03-09,16:51:56,28.6139,77.209,537.1,22.6,27.6,26.85,986.3,79.46,7.02
2025-03-09,16:52:56,28.6139,77.209,510.2,41.6,57.2,21.96,964.5,85.36,13.28
2025-03-09,16:53:57,28.6139,77.209,528.2,48.5,62.5,32.82,953.24,49,8.53
2025-03-09,16:54:57,28.6139,77.209,541,10.8,24.7,38.5,982.99,63.83,14.49
2025-03-09,16:55:58,28.6139,77.209,531.7,43.5,61,36.35,993.07,34.37,3.57
2025-03-09,16:56:59,28.6139,77.209,542.4,45.1,57.6,28.96,964.59,42.93,2.24
2025-03-09,16:57:59,28.6139,77.209,501.4,22,34.2,39.06,1003.54,79.96,3.98
2025-03-09,16:59:00,28.6139,77.209,528.9,6.9,11.9,21.02,973.82,48.1,5.16
2025-03-09,17:00:01,28.6139,77.209,533.9,46.5,62.1,29.56,1003.94,74.08,8.46
2025-03-09,17:01:02,28.6139,77.209,511.4,16.5,19.1,34.07,998.04,78.74,0.34
2025-03-09,17:02:02,28.6139,77.209,544.6,15.5,25.3,37.39,972.99,53.55,10.92
2025-03-09,17:03:03,28.6139,77.209,545.5,12.7,23.2,27.38,957.56,74.24,13.67
2025-03-09,17:04:04,28.6139,77.209,530,11.5,28.3,31.51,1019.93,47.98,3.07
2025-03-09,17:05:04,28.6139,77.209,547.5,40,45.1,33.01,958.34,41.4,13.64
2025-03-09,17:06:05,28.6139,77.209,516.8,18.9,22.8,28.71,992.84,37.51,5
2025-03-09,17:07:06,28.6139,77.209,514.7,17.5,35.5,23.49,1007.39,49.91,1.68
2025-03-09,17:08:06,28.6139,77.209,515.4,23,27.6,32.66,955.25,53.08,2.95
2025-03-09,17:09:07,28.6139,77.209,542.4,23.8,28.5,39.55,982,54.88,1.8
2025-03-09,17:10:08,28.6139,77.209,537.5,34,37.8,37.26,1011.89,77.98,8.97
2025-03-09,17:11:09,28.6139,77.209,512.5,27.1,43.4,36.25,979,30.26,2.86
2025-03-09,17:12:10,28.6139,77.209,516.7,40.7,44.2,29.38,1009.91,66.74,12.43
2025-03-09,17:13:10,28.6139,77.209,541.9,46.9,58.2,38.97,1010.95,79.9,10.13
2025-03-09,17:14:11,28.6139,77.209,547.3,37.2,56,29.97,981.51,87.32,12.54
2025-03-09,17:15:12,28.6139,77.209,546.9,11.4,26.2,23.65,1006.94,87.68,7.98
2025-03-09,17:16:12,28.6139,77.209,507.8,34.2,45.3,20.35,983.8,43.69,4.95
2025-03-09,17:17:13,28.6139,77.209,545.6,46.3,55.7,32.89,979.2,62.79,13.41
2025-03-09,17:18:13,28.6139,77.209,542.1,46.5,50.8,21.2,1007.68,84.64,0.4
2025-03-09,17:19:14,28.6139,77.209,528.6,19.6,29.6,30.72,981.28,53.59,7.64
2025-03-09,17:20:15,28.6139,77.209,540.3,16.6,23.4,34.84,962.61,77.29,0.59
2025-03-09,17:21:15,28.6139,77.209,526.4,44.8,51.4,35.22,990.77,84.63,12.16
2025-03-09,17:22:16,28.6139,77.209,535.4,46,50.8,33.73,971.51,49.88,4.91
2025-03-09,17:23:17,28.6139,77.209,545.2,42.1,51.4,38.11,980.98,88.05,2.18
2025-03-09,17:24:17,28.6139,77.209,548.2,9.8,21.4,24.58,1009.21,50.32,3.34
2025-03-09,17:25:18,28.6139,77.209,519.2,43.4,49.9,25.76,963.66,87.53,0.84
2025-03-09,17:26:19,28.6139,77.209,510.7,14.9,25.3,32.31,1013.35,32.5,8.5
2025-03-09,17:27:19,28.6139,77.209,519,21.8,23.9,28.39,961.02,34.13,5.13
2025-03-09,17:28:20,28.6139,77.209,547.8,18.1,35.3,25.99,963.03,35.72,0.91
2025-03-09,17:29:21,28.6139,77.209,526.7,19.3,38.6,23.53,958.2,40.38,4.54
2025-03-09,17:30:21,28.6139,77.209,501,31.6,36.2,28.74,986.54,37.97,9.89
2025-03-09,17:31:22,28.6139,77.209,541.7,37.5,48.6,24.77,957.64,58.51,14.49
2025-03-09,17:32:22,28.6139,77.209,504,22,24,29.43,1015.32,35.4,12.77
2025-03-09,17:33:23,28.6139,77.209,533.1,14.1,34.1,30.01,958.8,31.2,14.54
2025-03-09,17:34:24,28.6139,77.209,524.8,36.7,39,36.86,964.29,54.86,5.22
2025-03-09,17:35:24,28.6139,77.209,523.4,10.1,15.2,39.1,968.84,70.75,13.41
2025-03-09,17:36:25,28.6139,77.209,542.7,42.6,55.2,23.85,957.12,89.02,10.91
2025-03-09,17:37:26,28.6139,77.209,510.2,27.3,46.7,36.85,1005.09,60.63,5.63
2025-03-09,17:38:26,28.6139,77.209,514.1,16.3,35.9,30.74,974.43,34.72,12.75
2025-03-09,17:39:27,28.6139,77.209,528.2,34.9,44,28.85,975.8,66.73,4.27
2025-03-09,17:40:27,28.6139,77.209,508.5,16.6,31.2,25.53,950.97,51.73,8.18
2025-03-09,17:41:28,28.6139,77.209,536.6,27.3,38.7,37.22,955.66,46.86,9.68
2025-03-09,17:42:28,28.6139,77.209,537.1,15.8,29.8,21.59,988.39,51.82,7.83
2025-03-09,17:43:30,28.6139,77.209,549.8,29.9,44.7,35.62,996.02,34,8.73
2025-03-09,17:44:31,28.6139,77.209,503.3,47.4,62.1,30.84,1006.32,45.59,10.39
2025-03-09,17:45:32,28.6139,77.209,507.9,35.1,51.5,31.78,997.51,83.94,0.34
2025-03-09,17:46:32,28.6139,77.209,522.4,23.6,36,20.29,963.61,33.27,4.45
2025-03-09,17:47:33,28.6139,77.209,547.7,10.1,18.8,34.43,987.94,65.64,7.9
2025-03-09,17:48:34,28.6139,77.209,537.3,12.7,26.7,29.28,960.81,51.02,10.07
2025-03-09,17:49:34,28.6139,77.209,528.1,35,45.1,24.04,994.54,31.5,6.67
2025-03-09,17:50:35,28.6139,77.209,503.3,25.5,30.8,37.17,1011.74,87.2,10.98
2025-03-09,17:51:36,28.6139,77.209,537.6,13,16.3,36.48,971.41,77.72,2.72
2025-03-09,17:52:36,28.6139,77.209,526.6,22.1,26.5,35.46,1007.27,34.71,10.93
2025-03-09,17:53:37,28.6139,77.209,544.2,29.9,34.2,31.73,951.01,34.5,13.79
2025-03-09,17:54:38,28.6139,77.209,545.3,33,47.4,38.84,992.39,43.68,1.73
2025-03-09,17:55:38,28.6139,77.209,534.1,16.6,22,31.25,954.57,81.02,5.13
2025-03-09,17:56:39,28.6139,77.209,514.5,17.2,33.6,30.27,984.43,77.13,2.53
2025-03-09,17:57:40,28.6139,77.209,511,42.6,60.1,34.83,1014.79,42.45,12.69
2025-03-09,17:58:40,28.6139,77.209,533.4,15.5,28.8,27.53,1013.48,39.83,4.68
2025-03-09,17:59:41,28.6139,77.209,542.5,31.8,42.9,25.69,1014.38,73.16,8.47
2025-03-09,18:00:41,28.6139,77.209,516,12.5,15.3,33.45,974.25,86.09,8.78
2025-03-09,18:01:42,28.6139,77.209,545,46,56.5,20.89,956.88,38.44,3.6
2025-03-09,18:02:43,28.6139,77.209,541.2,42.3,59.2,31.58,954.34,37.69,0.19
2025-03-09,18:03:43,28.6139,77.209,539.1,49.7,57.3,29.35,994.19,35.3,6.84
2025-03-09,18:04:44,28.6139,77.209,541,45.1,50.3,26.57,986.37,66.48,6
2025-03-09,18:05:45,28.6139,77.209,517.2,19.3,25.8,32.58,976.17,41.39,11.98
2025-03-09,18:06:45,28.6139,77.209,503.4,10.4,16.5,36.13,982.48,64.16,10.69
2025-03-09,18:07:46,28.6139,77.209,545.8,23.3,30.7,38.98,1007.29,40.64,8.52
2025-03-09,18:08:47,28.6139,77.209,510.6,28.6,44.5,33.33,962.43,35.32,7.36
2025-03-09,18:09:48,28.6139,77.209,517.9,36,45.9,23.53,1014.86,85.7,8.89
2025-03-09,18:10:48,28.6139,77.209,549.6,15.8,24.4,35.23,951.32,81.56,2.27
2025-03-09,18:11:49,28.6139,77.209,511.1,11.4,27.3,28.39,999.77,33.96,14.31
2025-03-09,18:12:49,28.6139,77.209,509.7,24,41.4,34.84,954.88,74.58,1.08
2025-03-09,18:13:50,28.6139,77.209,516.8,23.7,40.1,20.28,1000.89,56.11,8.13
2025-03-09,18:14:51,28.6139,77.209,515.2,25.1,30,29.87,995.36,62.6,11.51
2025-03-09,18:15:52,28.6139,77.209,528.6,48.5,52.3,26.38,1006.59,38.49,8.43
2025-03-09,18:16:52,28.6139,77.209,524.8,8.6,10.7,30.85,955.13,74.61,0.82
2025-03-09,18:17:53,28.6139,77.209,532.1,27.3,46.7,22.91,1011.2,73.36,9.49
2025-03-09,18:18:53,28.6139,77.209,539.9,43.2,60.8,21.74,1015.55,67.56,1.95
2025-03-09,18:19:54,28.6139,77.209,549.3,28.3,37.3,20.42,1008.31,77.01,3.29
2025-03-09,18:20:55,28.6139,77.209,528.5,21.1,37.8,37.05,969.05,37.41,12.69
2025-03-09,18:21:55,28.6139,77.209,523,7.6,12.6,31.16,983.33,84.55,2.6
2025-03-09,18:22:56,28.6139,77.209,537,19.1,23.9,28.71,1013.07,51.37,10.07
2025-03-09,18:23:56,28.6139,77.209,519.9,28.9,40.6,24.59,964.51,83.5,12.56
2025-03-09,18:24:57,28.6139,77.209,518.6,30.2,40,24.2,953.35,81.69,1.51
2025-03-09,18:25:58,28.6139,77.209,534,6.2,13.5,39.53,999.22,82.38,8.95
2025-03-09,18:26:58,28.6139,77.209,549.6,38.5,42.5,33.28,1012.78,48.21,3.28
2025-03-09,18:27:59,28.6139,77.209,542.5,26.6,36.6,31.78,997.31,75.7,3.72
2025-03-09,18:29:00,28.6139,77.209,539.1,36,41.4,26.88,1011.21,88.22,11.29
2025-03-09,18:30:00,28.6139,77.209,521.5,46.8,54.4,26.42,998.14,35.28,14.72
2025-03-09,18:31:01,28.6139,77.209,547.9,9.6,26.2,21.5,958.54,74.24,11.95
2025-03-09,18:32:02,28.6139,77.209,528.6,43.5,62.6,23.75,987.14,33.99,8.64
2025-03-09,18:33:02,28.6139,77.209,549.7,32.7,47.1,20.27,951.35,79.5,1.16
2025-03-09,18:34:03,28.6139,77.209,546.1,42.3,59.9,23.25,962.47,65.74,0.42
2025-03-09,18:35:04,28.6139,77.209,513.9,43.6,52,35.78,1009.41,47.84,11.64
2025-03-09,18:36:04,28.6139,77.209,525,41,59.5,36.01,1005.8,56.2,5.81
2025-03-09,18:37:05,28.6139,77.209,503.3,22.6,41.3,37.01,1010.1,30.19,13.9
2025-03-09,18:38:06,28.6139,77.209,536.5,7.4,20.9,20.97,989.51,43.17,11.78
2025-03-09,18:39:06,28.6139,77.209,519.3,33.8,41.4,32.07,962.03,31.48,6.73
2025-03-09,18:40:07,28.6139,77.209,514.2,49.1,52.4,25.07,966.71,75.53,11.84
2025-03-09,18:41:08,28.6139,77.209,544.1,6.1,13.4,38.96,965.53,38.01,5.92
2025-03-09,18:42:08,28.6139,77.209,549.9,19.2,37,38.55,1010.66,85.52,3.15
2025-03-09,18:43:09,28.6139,77.209,519.2,9.6,18.1,24.65,955.5,35.78,3.93
2025-03-09,18:44:10,28.6139,77.209,543.2,25.3,32.5,25.45,1006.03,80.61,6.52
2025-03-09,18:45:11,28.6139,77.209,544.5,31.4,34.9,39.22,960.13,48.46,11.76
2025-03-09,18:46:11,28.6139,77.209,547.5,39.3,57.2,32.52,1008.08,73.18,8.17
2025-03-09,18:47:12,28.6139,77.209,512,12.6,22.6,20.86,962.19,73.99,14.2
2025-03-09,18:48:12,28.6139,77.209,502.9,22.5,26.2,24.63,992.85,72.15,0.45
2025-03-09,18:49:13,28.6139,77.209,546.1,18.9,38.4,23.01,1009.96,82.45,11.19
2025-03-09,18:50:14,28.6139,77.209,537.4,48.4,54.1,36.12,973.74,64.99,1.6
2025-03-09,18:51:15,28.6139,77.209,529.4,27.4,33,30.26,1017.34,35.8,5.38
2025-03-09,18:52:15,28.6139,77.209,549.8,6.6,19,22.2,1018.52,63.63,10.94
2025-03-09,18:53:16,28.6139,77.209,525,25,33.2,35.19,1019.53,52.42,2.91
2025-03-09,18:54:17,28.6139,77.209,502.7,5,17.5,33.32,995.32,49.48,13.46
2025-03-09,18:55:18,28.6139,77.209,505,39.4,48.9,25.8,1000.63,49.19,1.99
2025-03-09,18:56:18,28.6139,77.209,543.9,21.9,28.8,24.91,977.84,38.1,4.34
2025-03-09,18:57:19,28.6139,77.209,534.6,13,21.9,37.18,993.34,56.04,5.93
2025-03-09,18:58:19,28.6139,77.209,511.9,5.8,9.8,33.86,1007.23,65.74,2.35
2025-03-09,18:59:20,28.6139,77.209,500.1,39.1,44.4,39.15,963.31,33.53,5.07
2025-03-09,19:00:21,28.6139,77.209,502.6,27.7,35.2,35.15,965.49,88.6,5.04
2025-03-09,19:01:22,28.6139,77.209,545.1,32.3,47,36.11,983.68,81.84,14.14
2025-03-09,19:02:22,28.6139,77.209,500.3,28.7,46,21.1,988.47,80.11,8.67
2025-03-09,19:03:23,28.6139,77.209,514.4,21.8,25.3,34.77,964.54,55.03,13.99
2025-03-09,19:04:24,28.6139,77.209,531.1,17.2,19.4,35.54,961.01,73.48,12.42
2025-03-09,19:05:25,28.6139,77.209,527.5,30.3,45,28.44,975.04,46.11,9.27
2025-03-09,19:06:25,28.6139,77.209,543.4,19.7,35.9,39.12,995.81,34.93,10.34
2025-03-09,19:07:26,28.6139,77.209,530.4,11.4,21.5,39.92,958.79,59.51,14.27
2025-03-09,19:08:26,28.6139,77.209,545.2,31.2,39.6,21.09,1014.49,79.41,14.53
2025-03-09,19:09:27,28.6139,77.209,500.6,20.5,28,22.48,965.2,73.19,1.39
2025-03-09,19:10:28,28.6139,77.209,519.1,45.9,54.8,23.88,961.24,33.92,6.41
2025-03-09,19:11:29,28.6139,77.209,504.6,25.9,28.4,22.41,963.06,64.43,7.35
2025-03-09,19:12:29,28.6139,77.209,515.3,33.9,51.6,28.43,1016.52,71.29,0.38
2025-03-09,19:13:30,28.6139,77.209,522.6,33.2,38.9,28.24,1005.59,62.12,2.25
2025-03-09,19:14:31,28.6139,77.209,537.3,40.5,49.3,26.78,956.42,41.42,10.31
2025-03-09,19:15:31,28.6139,77.209,500.2,12.7,22.3,25.72,951.26,55.81,6.11
2025-03-09,19:16:32,28.6139,77.209,505,42.3,46.8,25.83,1010.33,82.05,1.83
2025-03-09,19:17:32,28.6139,77.209,547.5,32.2,50.5,39.73,999.66,61.67,6.14
2025-03-09,19:18:33,28.6139,77.209,523.6,12.2,25.9,31.78,971.14,87.18,1.15
2025-03-09,19:19:34,28.6139,77.209,508.2,12.9,24.6,26.75,1008.1,52.01,2.62
2025-03-09,19:20:34,28.6139,77.209,516.1,38.3,41.7,33.07,989.9,62.84,3.15
2025-03-09,19:21:35,28.6139,77.209,530.2,28.5,46.3,32.99,960.94,69.45,6.72
2025-03-09,19:22:35,28.6139,77.209,531.3,18.4,24.8,31.54,1012.56,48.9,12.47
2025-03-09,19:23:36,28.6139,77.209,517.5,26.6,36.7,33.7,1001.19,69.39,5.33
2025-03-09,19:24:37,28.6139,77.209,527,38.1,47.6,20.03,985.14,44.41,4.84
2025-03-09,19:25:37,28.6139,77.209,532.5,30.4,35.6,31.72,1018.24,83.55,14.03
2025-03-09,19:26:38,28.6139,77.209,529.7,23.7,30.3,29.43,964.73,49.21,7.17
2025-03-09,19:27:39,28.6139,77.209,525.2,32.7,51.9,34.97,997.05,82.3,11.52
2025-03-09,19:28:39,28.6139,77.209,532.5,10.3,14.1,38.72,1010.16,63.55,3.25
2025-03-09,19:29:40,28.6139,77.209,545.7,18.6,27.9,28.22,965.24,61.52,10.59
2025-03-09,19:30:41,28.6139,77.209,525.7,35.6,44.3,26.87,989.44,43.28,13.23
2025-03-09,19:31:41,28.6139,77.209,519.1,10,14.2,31.02,973.46,46.25,6.62
2025-03-09,19:32:42,28.6139,77.209,539.6,33.2,42.3,33.03,995.58,35.8,10.88
2025-03-09,19:33:43,28.6139,77.209,535.7,38.5,55,23.66,954.06,39.09,7.1
2025-03-09,19:34:43,28.6139,77.209,549.1,9.1,18.1,28.71,987.59,51.33,0.65
2025-03-09,19:35:44,28.6139,77.209,537.5,23.3,38.3,33.47,960.93,65.63,5.33
2025-03-09,19:36:45,28.6139,77.209,519.9,42.6,62.2,34.04,974.52,83.15,10.34
2025-03-09,19:37:45,28.6139,77.209,548.4,20.9,24.7,28.77,1012,87.62,11.14
2025-03-09,19:38:46,28.6139,77.209,543,43.1,56.5,26.52,999.18,42.95,6.2
2025-03-09,19:39:47,28.6139,77.209,514.9,33.7,40.4,25.13,976.05,68.56,10.61
2025-03-09,19:40:47,28.6139,77.209,503.5,23.4,36.6,26.2,985.94,55.33,13.09
2025-03-09,19:41:48,28.6139,77.209,510.7,35,46.7,39.58,992.8,68.84,0.67
2025-03-09,19:42:49,28.6139,77.209,537.7,16.4,31.1,29.06,962.96,33.64,12.79
2025-03-09,19:43:49,28.6139,77.209,520.7,11.2,25.9,32.71,1018.02,77.81,2.16
2025-03-09,19:44:50,28.6139,77.209,509.6,6.8,19.9,23.1,986.64,32.09,1.38
2025-03-09,19:45:51,28.6139,77.209,546.5,5.7,19.4,34.43,961.3,72.66,13.96
2025-03-09,19:46:51,28.6139,77.209,549.8,22.7,30.4,24.78,995.67,51.42,11.13
2025-03-09,19:47:52,28.6139,77.209,518.8,18.6,23.3,27.29,982.87,48.56,4.95
2025-03-09,19:48:53,28.6139,77.209,523.1,35.9,52.1,37.33,995.94,72.73,5.04
2025-03-09,19:49:54,28.6139,77.209,516.4,22,27.6,28.99,999.74,50.23,12.39
2025-03-09,19:50:55,28.6139,77.209,512.9,30.1,49.5,35.32,964.07,80.56,0.03
2025-03-09,19:51:55,28.6139,77.209,520.6,13.6,27.7,37.16,960.68,85.18,1.8
2025-03-09,19:52:56,28.6139,77.209,547.5,40.3,55.2,25.42,989.53,67.93,0.52
2025-03-09,19:53:56,28.6139,77.209,501.9,16.1,20.9,37.47,969.53,61.02,7.57
2025-03-09,19:54:57,28.6139,77.209,503.5,48.4,59.4,35.79,960.08,74.12,10.41
2025-03-09,19:55:58,28.6139,77.209,536.3,13.7,19.3,33.41,1008.57,80.33,3.21
2025-03-09,19:56:59,28.6139,77.209,533.1,27.5,33.1,38.15,989.29,85.78,7.21
2025-03-09,19:57:59,28.6139,77.209,544.7,7.9,16.1,38.29,1002.64,48.72,2.81
2025-03-09,19:59:00,28.6139,77.209,517.1,41.9,55.8,28.52,990.49,47.8,4.4
2025-03-09,20:00:01,28.6139,77.209,538.4,32.3,49.5,22.61,1000.91,69.65,10.11
2025-03-09,20:01:01,28.6139,77.209,548.3,11.1,21.4,29.14,995.66,41.93,5.89
2025-03-09,20:02:02,28.6139,77.209,507.7,29,36.6,35.54,967.55,55.18,7.85
2025-03-09,20:03:03,28.6139,77.209,532.1,34.6,45.4,34.99,1006.67,31.57,8.8
2025-03-09,20:04:03,28.6139,77.209,502,18.7,33.3,36.6,962.65,56.04,7.43
2025-03-09,20:05:04,28.6139,77.209,536.3,7.7,22.2,37.05,978.85,50.73,13.41
2025-03-09,20:06:05,28.6139,77.209,514.1,34.6,41.6,24.38,952.79,87.63,13.65
2025-03-09,20:07:05,28.6139,77.209,528.2,33.5,42.6,39.06,980.35,71.96,13.38
2025-03-09,20:08:06,28.6139,77.209,521.1,33.4,43.4,37.76,982.77,41.91,7.51
2025-03-09,20:09:06,28.6139,77.209,502.6,28.8,34.1,25.79,962.87,58.29,1.8
2025-03-09,20:10:07,28.6139,77.209,530.4,14.6,26.2,21.35,959.54,33.05,4.42
2025-03-09,20:11:08,28.6139,77.209,544,27.2,31,23.57,997.92,49.93,0.21
2025-03-09,20:12:09,28.6139,77.209,520.7,5.8,12.4,33.92,1008.68,51.82,6.41
2025-03-09,20:13:10,28.6139,77.209,504.4,35,48.4,20.94,1014.07,33.27,1.86
2025-03-09,20:14:10,28.6139,77.209,549.9,46.3,58.8,35.59,952.61,44.22,3.02
2025-03-09,20:15:11,28.6139,77.209,548.7,34.5,42,37.88,979.03,45.71,8.5
2025-03-09,20:16:12,28.6139,77.209,548.6,8.8,23,33.17,1016.25,66.25,0.44
2025-03-09,20:17:12,28.6139,77.209,537.7,11.5,27.3,26.19,979.35,38.16,14.96
2025-03-09,20:18:13,28.6139,77.209,544.6,34.2,47.5,23.46,957.09,76.99,9.29
2025-03-09,20:19:14,28.6139,77.209,544.7,38.5,52.8,35.8,984.81,39.02,2.57
2025-03-09,20:20:14,28.6139,77.209,501.9,40.9,50.6,36.97,950.07,45.25,9.09
2025-03-09,20:21:15,28.6139,77.209,519.3,15.5,28.1,26.48,966.02,85.66,11.33
2025-03-09,20:22:16,28.6139,77.209,533.5,34.9,37.5,33.15,1017.2,59.03,11.01
2025-03-09,20:23:16,28.6139,77.209,530.5,49.3,67.8,35.03,960,71.85,12.11
2025-03-09,20:24:17,28.6139,77.209,549.1,23,34.3,36.21,1014.53,81.1,3.45
2025-03-09,20:25:18,28.6139,77.209,546.6,26.3,35.4,37.08,980.17,36.76,7
2025-03-09,20:26:18,28.6139,77.209,544.1,39.2,55.1,29.46,999.31,35.79,13.76
2025-03-09,20:27:19,28.6139,77.209,518.8,27.4,36.8,30.96,976.94,59.65,7.22
2025-03-09,20:28:20,28.6139,77.209,511.7,38.6,57.1,38.47,951.61,82.51,4.69
2025-03-09,20:29:21,28.6139,77.209,512.3,27.5,38,31.83,967.22,72.58,11.78
2025-03-09,20:30:21,28.6139,77.209,521.7,26.4,41.6,38.44,1017.14,44.13,11.08
2025-03-09,20:31:22,28.6139,77.209,515.8,14.3,27,35.35,964.62,36.62,4.57
2025-03-09,20:32:23,28.6139,77.209,546.6,41.3,54.8,27.33,997.77,35.69,5.24
